,name,handedness,height,weight,avg,HR,height_group,weight_group,avg_group
0,Tom Brown,R,73,170,0.0,0,"(72, 73]","(165, 170]","[0.0, 0.02)"
1,Denny Lemaster,R,73,182,0.13,4,"(72, 73]","(180, 185]","[0.12, 0.14)"
2,Joe Nolan,L,71,175,0.263,27,"(70, 71]","(170, 175]","[0.26, 0.28)"
3,Denny Doyle,L,69,175,0.25,16,"(68, 69]","(170, 175]","[0.24, 0.26)"
4,Jose Cardenal,R,70,150,0.275,138,"(69, 70]","(145, 150]","[0.26, 0.28)"
5,Mike Ryan,R,74,205,0.193,28,"(73, 74]","(200, 205]","[0.18, 0.2)"
6,Fritz Peterson,B,72,185,0.159,2,"(71, 72]","(180, 185]","[0.14, 0.16)"
7,Dick Bertell,R,72,200,0.25,10,"(71, 72]","(195, 200]","[0.24, 0.26)"
8,Rod Kanehl,R,73,180,0.24100000000000002,6,"(72, 73]","(175, 180]","[0.24, 0.26)"
9,Ozzie Osborn,R,74,195,0.0,0,"(73, 74]","(190, 195]","[0.0, 0.02)"
10,John LaRose,L,73,185,0.0,0,"(72, 73]","(180, 185]","[0.0, 0.02)"
11,Jeff Byrd,R,75,195,0.0,0,"(74, 75]","(190, 195]","[0.0, 0.02)"
12,Juan Bonilla,R,69,170,0.256,7,"(68, 69]","(165, 170]","[0.24, 0.26)"
13,Frank Tepedino,L,71,185,0.24100000000000002,6,"(70, 71]","(180, 185]","[0.24, 0.26)"
14,Jerry Kutzler,L,73,175,0.0,0,"(72, 73]","(170, 175]","[0.0, 0.02)"
15,Rick Wise,R,73,180,0.195,15,"(72, 73]","(175, 180]","[0.18, 0.2)"
16,Darrell Evans,L,74,200,0.248,414,"(73, 74]","(195, 200]","[0.24, 0.26)"
17,Buck Martinez,R,70,190,0.225,58,"(69, 70]","(185, 190]","[0.22, 0.24)"
18,John Wockenfuss,R,72,190,0.262,86,"(71, 72]","(185, 190]","[0.26, 0.28)"
19,Tommy McCraw,L,72,183,0.24600000000000002,75,"(71, 72]","(180, 185]","[0.24, 0.26)"
20,Jeff Barkley,B,75,185,0.0,0,"(74, 75]","(180, 185]","[0.0, 0.02)"
21,Eric Wilkins,R,73,190,0.0,0,"(72, 73]","(185, 190]","[0.0, 0.02)"
22,Britt Burns,L,77,215,0.0,0,"(76, 77]","(210, 215]","[0.0, 0.02)"
23,Lee Lacy,R,73,175,0.28600000000000003,91,"(72, 73]","(170, 175]","[0.28, 0.3)"
24,Pete Rose,B,71,192,0.303,160,"(70, 71]","(190, 195]","[0.3, 0.32)"
